"Subject_ID" "acc1" "RT1" "acc2" "RT2" "acc3" "RT3" "acc4" "RT4" "acc5" "RT5" "acc6" "RT6" "acc7" "RT7" "acc8" "RT8" "acc9" "RT9" "acc10" "RT10" "acc11" "RT11" "acc12" "RT12" "acc13" "RT13" "acc14" "RT14" "acc15" "RT15" "acc16" "RT16" "acc17" "RT17" "acc18" "RT18" "acc19" "RT19" "acc20" "RT20"
66 0 7393 1 2855 1 2745 1 2007 1 1355 1 2599 1 1881 1 1887 1 2395 1 1910 1 3394 0 5152 1 2679 1 3066 1 2463 0 1334 1 2013 1 1779 0 2551 1 1751
67 1 4472 1 2072 1 2106 1 2422 1 1880 1 3995 1 2561 1 3919 0 2072 1 2375 1 1982 1 3158 1 3855 1 2665 0 4998 1 1786 1 2216 1 3942 1 2422 1 3359
68 1 4719 0 4182 1 3210 1 4458 1 4765 0 3049 0 2695 1 3366 1 3410 1 3599 1 3672 1 4740 1 3322 1 2949 0 6220 0 2134 0 5890 1 2736 1 1910 1 2001
69 1 6995 1 2187 1 8779 0 5328 1 2894 1 4954 0 5778 1 2980 1 2530 0 3214 1 1465 1 2642 1 2433 1 5556 1 2278 1 2535 1 3096 1 2919 1 12826 1 9915
70 0 9721 1 1811 1 1726 0 2007 0 2428 1 3841 0 1799 0 1805 0 4408 1 3786 0 1258 1 3056 0 2575 0 2037 1 3098 1 1017 0 698 1 1583 0 3097 0 1564
71 0 5600 1 3565 1 3064 0 5197 1 4111 1 2293 1 2616 0 2846 1 2863 1 8698 1 2519 1 3128 1 2073 0 3201 1 9646 0 3953 1 2413 1 3482 1 5795 1 6545
73 1 2916 0 2871 1 3016 0 1586 1 1718 1 1494 0 3077 1 2767 1 2495 1 1971 1 2409 1 2495 1 4954 0 3231 0 2213 1 3149 1 4131 1 2804 0 2121 1 2132
74 1 5149 1 3105 1 9276 1 4584 1 3586 0 4441 0 4579 1 22727 1 4042 1 5026 1 2283 1 5027 1 3283 1 4521 1 2376 1 2969 1 3610 1 11182 0 4365 1 3236
75 0 4770 1 3022 1 2280 0 2124 1 1747 1 1657 1 2356 1 3125 0 2388 1 1702 1 2293 1 2430 1 2203 1 1327 1 2252 1 2360 1 3758 0 2450 1 2123 1 3167
76 1 4999 1 3915 1 2350 1 2798 1 3001 1 2852 1 2796 0 7132 1 7745 1 3868 1 5358 1 6355 1 5249 1 4390 1 3243 1 5722 1 3534 1 4487 0 8600 1 6908
77 0 8277 1 2599 1 4813 0 3722 1 6578 0 4247 1 4490 0 18650 1 10920 0 14064 1 4915 1 5621 1 13300 1 3455 1 3693 1 4209 0 9994 1 22935 0 4809 999 16999
78 0 3539 1 2811 1 2946 1 4761 1 3073 1 3092 1 4046 1 2701 1 1860 1 1815 1 2214 1 3681 1 3018 1 4463 1 4632 1 1620 1 1951 1 1956 1 2474 1 1489
79 0 5558 1 3707 1 2147 0 5500 1 6569 1 4680 1 5695 0 3138 1 7222 1 5912 1 5389 1 5053 1 3807 1 5712 0 2980 0 5534 1 7881 1 4061 0 3807 1 5327
80 0 4004 1 3428 1 1630 1 3392 1 1288 1 4698 0 5192 0 4831 999 1961 0 2637 1 3112 0 2285 1 2947 0 2667 1 5382 1 3451 0 5217 1 2938 0 1824 1 2449
81 1 8530 1 6332 1 3125 1 3977 1 5176 1 10186 1 5938 1 3917 1 5491 1 7183 1 3852 1 2821 1 5306 1 5279 0 9350 1 7337 1 3462 1 4795 1 5329 1 2719
83 1 3343 1 2828 1 2397 1 2554 1 2203 0 1781 1 2099 0 4867 0 2713 1 2181 1 2885 0 2943 0 4070 1 1771 1 2765 1 2124 1 3436 1 1863 1 1790 1 1880
84 0 7806 1 3615 1 2292 0 1778 1 1281 1 1446 0 1570 0 1513 1 1803 1 1392 1 1496 0 1639 0 1798 1 1448 0 6220 1 1807 0 1712 1 1491 0 1782 0 1372
86 1 2272 1 2145 0 2097 1 2679 1 2268 0 3001 0 2187 1 2352 0 2055 1 3661 1 2153 1 2615 0 2966 1 6165 1 3459 1 2423 0 3225 1 2882 1 2575 1 1914
87 1 5520 0 2792 1 3826 1 5121 0 2426 0 2356 1 2281 1 2017 1 5588 1 1894 0 3104 1 3803 1 2298 1 3511 0 7931 1 2676 1 2533 1 1434 0 1666 1 4461
88 0 6403 1 7201 1 5821 1 1570 1 1720 1 3487 1 2871 1 3229 999 30118 1 20069 0 2078 1 16560 1 2120 1 3289 1 3528 1 5451 1 4350 1 4233 999 12218 999 12454
89 1 28222 1 1574 0 3614 0 1515 1 4112 1 4754 0 3645 0 4539 0 8858 1 2713 1 1725 0 1861 0 5023 0 2974 1 2208 1 2405 0 4211 1 5985 0 2629 1 3125
90 1 3130 1 2656 1 2494 1 3182 1 3141 1 2676 1 2391 1 2872 1 1950 1 2302 1 2775 0 2098 1 2302 1 2990 1 2797 1 1934 1 6956 1 2197 0 2991 1 3136
91 1 3308 1 8818 1 4137 1 2889 1 2488 0 2629 1 2212 0 3030 0 2649 1 7716 0 8055 0 12646 1 3811 1 6764 0 5331 1 4489 1 3190 0 2759 1 2099 1 388
93 1 5459 1 3459 1 4052 1 2852 1 1941 1 9737 0 9381 1 2958 1 3214 1 2793 1 4723 1 3303 1 8639 0 8517 1 13164 1 3831 1 2805 1 3008 1 2535 1 6077
95 1 5268 1 3829 1 2022 1 2068 1 4387 1 3083 1 7597 1 1948 1 2094 1 1688 1 1586 1 3343 1 2834 0 1876 1 3718 1 2174 1 2978 1 3097 1 3421 1 1647
97 1 4521 1 11717 0 4674 0 3099 1 3404 1 2466 1 4637 1 3036 1 3105 1 3727 1 3323 1 2900 1 3149 1 4867 0 6233 1 7184 1 3221 1 3170 1 3530 1 3195
98 0 7975 1 5141 1 2479 1 3874 1 3353 1 1980 0 2575 1 3929 0 3950 1 3650 1 2828 1 3311 999 2874 1 4961 1 2157 1 2050 0 1907 1 2181 0 2787 1 4771
