85,2.35,2.57,2.55,2.71,1.83,2.71,0.54,2.75,2.89,2.97,2.11,2.25,2.97,2.86,2.22,2.19,2.98,2.98,2.97,1.05
86,-,-,-,-,-,-,-,0.95,-,-,1.78,-,-,-,-,1.02,-,-,-,-
87,-,2.76,2.84,2.86,1.45,2.86,2.97,1.93,2.98,2.23,0.55,2.85,2.8,-,2.99,2.99,2.98,2.98,,
88,0.28,2.75,0.8,-,1.92,-,2.07,2.45,0.62,0.83,0.6,2.01,2.26,1.02,1.4,0.07,0.22,1.43,0.83,1.08
89,1.08,2.49,2.18,2.43,2.02,2.83,2.98,2.13,2.98,-,0.95,0.25,0.08,0.03,2.98,2.42,2.4,0.58,0.98,2.75
90,2.99,2.98,2.98,2.8,2.98,2.98,2.13,2.97,2.99,2.98,2.98,2.98,2.98,2.99,0.83,2.98,2.98,2.81,2.98,2.98
92,2.84,2.83,2.2,2.51,2.35,0.8,2.52,2.15,1.93,2.86,2.63,2.84,2.23,2.3,2.51,2.54,2.44,2.38,1.67,2.98
93,2.98,2.98,2.97,2.63,2.38,2.87,0.48,1.12,2.3,2.59,2.98,-,1.28,2.52,2.73,2.23,2.98,2.34,,
95,2.98,1.91,1.25,2.98,2.98,2.65,0.62,0.92,2.97,-,0.94,0.83,0.84,2.73,1.99,2.72,1.85,2.66,2.64,
96,1.53,2.59,0.8,1.78,1.62,2.56,2.18,1.22,1.93,0.97,0.9,0.07,2.98,2.06,1.15,0.53,2.7,2.19,2.26,2.57
97,2.98,2.76,1.7,2.99,0.57,2.98,2.85,2.55,2.4,2.63,0.32,1.75,2.7,2,1.36,2.69,2.48,2.98,2.99,2.99
98,2.99,2.98,2.98,2.95,2.51,2.98,2.63,2.77,2.5,2.44,2.98,2.21,2.97,2.35,2.68,2.77,2.5,2.99,2.98,2.23
99,2.47,0.82,2.23,1.97,0.67,2.37,2.06,2.84,-,2.98,2.6,1.49,-,2.87,2.98,2.81,1.52,2.84,2.65,-
100,0.57,2.9,0.73,2.6,0.52,2.82,1.65,0.75,1.74,0.32,2.84,2.98,1.42,-,2.57,2.21,1.04,1.03,,
101,0.45,-,-,0.06,0.38,0.02,-,0.12,0.88,0.05,1.02,-,0.1,-,1.55,-,0.17,1.82,2.98,0.77
103,2.71,2.46,1.78,-,1.02,2.26,-,1.13,-,-,1.47,2.99,2.55,1.23,2.62,2.42,2.74,2.66,2.52,1.98
105,2.98,2.98,2.98,2.98,2.98,2.97,2.98,2.97,2.98,2.66,2.97,2.98,2.98,2.98,2.86,2.98,2.98,2.74,,
P102,2.3,1.58,1.68,2.61,1.69,2.66,2.61,2.57,1.71,0.97,2.58,2.99,2.69,2.99,2.23,1.58,1.73,2.69,2.12,2.98
P104,1.83,2.01,1.75,0.02,0.51,-,-,2.07,-,1.77,0.92,2.1,0.45,0.73,2.1,0.4,0.67,-,1.96,1.31
