47,no data,,,,,,,,,,,,,,,,,,,,
48,0.02,2.99,-,-,0.18,0.48,0.08,-,0.55,0.83,0.18,0.02,0.13,0.15,0.07,2.67,0.17,-,0.51,0.15,
49,2.64,2.06,0.3,0.33,1.18,1.55,0.36,1.7,0.86,2.02,1.08,2.72,-,0.42,2.8,0.3,2.88,-,0.85,0.73,
50,2.99,2.97,2.98,2.98,2.98,2.98,2.66,2.99,2.98,2.97,2.98,2.72,2.98,2.8,2.98,2.11,2.92,2.99,1,2.99,
51,2.98,1.8,0.73,-,2.26,0.7,2.99,-,2.5,-,-,1.73,2.69,0.59,1.74,-,-,0.84,1.09,1.9,
52,-,2.24,-,-,-,0.58,-,-,-,-,-,-,-,-,0.03,-,-,0.82,1.47,0.53,
53,-,0.88,-,2.58,0.67,2.05,1.07,1.23,2.9,1.57,1.03,0.74,2.66,-,1.4,1.28,0.44,2.98,0.67,0.62,
54,-,-,2.59,-,-,0.46,1.97,-,-,0.02,2.3,2.74,-,1.98,-,-,2.33,-,-,-,
55,1.77,2.77,2.09,1.72,-,2.99,1.88,2.47,2.37,2.7,2.84,2.79,2.87,2.85,2.51,2.58,2.99,2.78,2.99,2.81,
56,1.38,1.48,2.71,0.41,0.58,2.23,0.58,2.74,-,2.79,2.77,2.75,1.43,0.26,2.55,-,-,-,2.32,1.22,
57,2.77,2.99,2.98,1.71,0.38,1.94,0.68,-,1.4,1.46,1.4,0.28,2.97,1.73,0.02,0.78,2.05,1.2,2.97,2.12,
58,2.32,2.98,1.23,1,-,0.9,0.85,1,0.78,2.67,-,1.07,1.81,0.7,-,2.51,0.73,2.64,1.47,1.58,
59,1.67,2.83,1.56,1.97,2.43,1.75,2.98,-,2.56,2.45,1.56,1.67,2.43,2.7,1.25,2.63,-,2.99,2.98,2.83,
60,1.42,-,1.4,-,0.32,1.99,-,1.89,0.3,1.18,2.43,2.52,1.61,-,2.16,-,2.66,0.23,2.11,0.97,
61,no data,,,,,,,,,,,,,,,,,,,,
62,2.91,2.72,2.97,1.9,2.98,2.98,2.73,2.98,2.98,2.99,2.19,2.98,2.47,0.77,2.3,2.53,2.83,2.66,2.7,1.99,
63,1.82,2.15,0.33,1.94,2.63,2.03,2.72,0.87,1.73,1.28,1.86,2.4,2.96,2.98,0.9,-,2,1.52,2.22,0.68,
64,2.98,2.04,0.82,0.08,2.54,-,2.52,2.67,0.96,2.37,2.45,2.59,2.71,0.46,0.52,2.5,2.98,1.83,2.98,-,
65,-,1.63,0.68,0.58,1.4,-,1.35,2,0.08,0.87,0.4,-,2.57,1.87,0.78,1.23,1.31,0.8,0.3,1.07,
66,2.8,2.77,2.55,2.63,2.59,2.66,2.99,2.87,2.59,2.65,2.82,2.62,2.77,2.12,2,2.81,2.77,2.61,2.56,2.98,
67,0.58,2.99,2.98,2.98,1.17,2.68,2.4,1.38,2.11,2.98,2.47,1.93,2.97,2.49,2.63,2.98,2.96,2.97,-,2.41,
68,1.54,2.55,1.65,1.4,2.76,2.56,1.67,2.98,1.97,2.99,1.53,2.71,1.3,2.71,2.43,1.38,2.98,2.67,2.53,1.56,
69,2.94,2.1,2.8,2.77,2.84,2.5,2.83,2.63,2.35,2.63,2.69,1.83,2.98,1.46,2.85,2.78,2.01,2.57,2.79,2.98,
70,0.25,2.39,0.75,2.37,-,2.97,0.48,2.79,1.14,1.58,2.01,1.27,1.43,-,0.95,2.4,2.18,2.26,2.44,2.57,
71,1.8,2.83,0.52,1.45,2.98,2.64,-,1.52,0.19,0.91,0.33,2.62,2.99,2.1,1.68,1.2,2.25,1.13,0.3,2.97,
72,2.9,1.15,1.17,1.86,1.03,2.07,2.48,1.18,2.98,1,2.78,2.98,2.94,2.79,1.32,2.55,1,2.94,1.32,2.57,
73,2.97,2.99,2.03,2.98,2.39,1.81,2.97,2.75,1.98,2.98,2.71,1.74,1.87,1.48,1.07,2.99,2.28,-,2.55,1.37,
74,2.12,2.44,2.1,2.37,1.69,2.65,1.48,0.97,0.68,2.98,-,2.46,2.62,0.18,2.2,0.9,1,2.98,1.61,-,
75,-,1.77,1.79,0.53,1.98,1.41,0.87,0.82,0.62,0.95,0.83,2.65,0.13,1.02,0.02,-,1.43,0.32,2.39,1.36,
76,-,-,1.23,1.63,0.23,2.93,0.17,1.1,0.45,2.78,1.45,2.19,2.32,2.37,0.7,0.68,0.83,1.81,1.23,1.13,
77,1.07,1.84,0.35,1.97,1.19,-,0.28,2.97,1.25,0.4,1.24,2.97,1.61,2.98,2.4,0.38,2.02,1.7,1.63,1.33,
78,-,0.48,1.55,1.74,2.99,-,2.43,1.92,0.72,-,-,2.08,1.44,0.55,0.95,-,-,-,2.32,0.08,
79,2.98,2.39,2.98,2.7,2.3,2.02,2.97,-,0.65,2.51,-,2.57,2.36,2.07,2.98,2.57,2.98,-,-,-,
83,2.79,2.97,2.83,2.99,2.75,2.99,2.98,2.99,2.98,2.98,2.98,2.97,2.98,2.99,2.97,2.75,2.12,2.64,2.98,2.67,
84,-,2.48,1.76,-,2.28,-,2.37,1.03,2.6,-,2.97,0.1,2.7,2.66,-,1.87,-,1.22,0.85,-,
86,2.27,-,2.44,2.99,2.98,2.98,2.98,2.75,2.93,1.99,2.98,2.97,2.69,2.97,2.99,2.98,2.97,2.98,2.98,2.1,
87,2.98,2.97,2.7,2.51,2.99,2.69,2.58,2.98,2.81,1.5,2.74,3,2.39,2.69,2.99,2.99,2.72,2.4,2.82,2.5,
88,1.05,1.67,2.8,1.51,1.82,2.98,2.15,-,2.01,-,-,0.22,0.12,-,1.51,1.15,0.58,2.8,1.65,2.29,
89,2.14,1.1,0.85,0.83,1.57,2.13,2.54,0.2,2.86,-,2.94,1.8,0.65,0.52,-,1.17,-,1.9,2.34,0.97,
90,1.39,2.73,2.98,2.99,2.51,2.29,2.77,2.97,2.58,1.6,2.14,1.89,2.99,2.98,2.98,2.37,2.3,0.82,2.98,2.98,
91,1.84,1.22,2.45,1.55,1.35,0.87,1.79,2.42,2.33,2.86,1.29,2.79,1.94,1.97,1.08,0.82,2.62,0.92,1.91,2.23,
92,2.79,2.56,2.98,2.98,2.97,2.98,2.98,2.98,2.51,2.98,2.98,2.98,2.55,2.23,2.98,2.83,2.98,2.59,2.98,2.98,
93,0.35,1.33,1.32,0.7,0.38,1.72,0.35,0.43,0.27,-,1.43,1.9,0.32,2.18,1.07,0.76,1.5,0.23,2.06,0.48,
95,-,-,-,-,-,-,-,-,-,-,-,-,-,0.4,-,-,-,-,-,-,
96,2.98,2.38,1.7,2.93,2.13,1.34,0.32,1.84,0.3,2.64,-,1,2.39,2.77,-,2.13,1.16,1.45,1.87,2.34,
98,2.6,2.99,2.77,2.44,2.85,2.71,2.58,2.74,2.98,0.76,2.98,-,2.48,2.51,2.98,2.67,2.82,1.87,2.25,1.95,
101,2.16,2.53,2.98,-,2.59,1.91,0.38,1.24,0.77,0.17,2.81,1.53,2.99,0.55,0.77,2.5,-,1.66,1.2,0.88,
P102,0.69,2.54,2.76,1.83,2.01,2.34,2.49,0.95,1.88,-,2.72,2.69,2.61,2.53,2.45,2.63,2.43,2.65,1.1,-,
103,2.63,2.6,2.7,-,0.88,1.52,2.54,2.88,2.33,2.83,1.22,1.97,1.78,1.7,2.44,0.71,0.15,2.53,-,-,
