"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","avg_acc","similar"
"73","106",4180,1,"2","Female","Caucasian","","f","e","e",2.55,30.58,2,0,"Shoe","1","Left","ShoeSock",0.684210526315789,"similar"
"74","107",2169,0,"2","Male","African American, Caucasian, American Indian, Asian-American",NA,"d","g","c",2.6,31.17,3,0,"Jacket","1","Right","JacketLeaf",0.6,"similar"
"75","108",2159,1,"2","Male","Caucasian",NA,"f","e","g",2.43,29.16,4,0,"Balloons","1","Left","BalloonsGrapes",0.65,"similar"
"76","109",1851,1,"2","Male","Caucasion, Asian-American","","f","e","g",2.39,28.67,1,0,"Clock","1","Left","ClockBicycle",0.8,"similar"
"77","110",1557,0,"2","Male","Caucasian","","f","e","e",2.44,29.29,6,0,"Sock","1","Left","ShoeSock",0.9,"similar"
"78","111",4383,1,"2","Female","Caucasian","","f","e","e",2.64,31.69,7,0,"Leaf","1","Right","JacketLeaf",0.85,"similar"
"79","112",3435,1,"2","Male","Caucasian","","f","e","e",2.65,31.86,8,0,"Grapes","1","Right","BalloonsGrapes",0.75,"similar"
"80","113",4092,1,"2","Male","Caucasiasian-American","","f","e","b",2.55,30.54,1,0,"Clock","1","Left","ClockBicycle",0.75,"similar"
"81","114",9926,1,"2","Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Shoe","1","Left","ShoeSock",0.95,"similar"
"82","116",2369,1,"2","Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Balloons","1","Left","BalloonsGrapes",0.55,"similar"
"83","117",2166,1,"2","Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Bicycle","1","Right","ClockBicycle",0.95,"similar"
"84","118",3271,1,"2","Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Sock","1","Right","ShoeSock",0.75,"similar"
"85","121",3299,1,"2","Female","African American, Caucasian, American Indian, Asian-American","Caucasian","a","c","",2.7,32.45,1,0,"Clock","1","Left","ClockBicycle",0.55,"similar"
"86","123",1693,1,"2","Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Jacket","1","Left","JacketLeaf",0.85,"similar"
"87","34",6701,0,"2","Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Shoe","1","Right","ShoeSock",0.6,"similar"
"88","35",2468,1,"2","Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Jacket","1","Left","JacketLeaf",0.6,"similar"
"89","36",4028,1,"2","Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Balloons","1","Left","BalloonsGrapes",0.95,"similar"
"90","37",2303,1,"2","Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Bicycle","1","Right","ClockBicycle",0.55,"similar"
"91","38",3844,1,"2","Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Sock","1","Right","ShoeSock",0.8,"similar"
"92","39",5058,1,"2","Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Leaf","1","Right","JacketLeaf",0.9,"similar"
"93","40",15964,NA,"2","Male","Hispanic","Caucasian","e","g","g",2.33,27.95,8,0,"Grapes","0",NA,NA,0.647058823529412,"similar"
"94","41",3083,1,"2","Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Clock","1","Left","ClockBicycle",0.55,"similar"
"95","43",4626,1,"2","Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Jacket","1","Left","JacketLeaf",0.85,"similar"
"96","44",4735,1,"2","Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Balloons","1","Left","BalloonsGrapes",0.9,"similar"
"97","45",8651,1,"2","Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Bicycle","1","Right","ClockBicycle",0.944444444444444,"similar"
"98","46",2827,1,"2","Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Sock","1","Right","ShoeSock",0.85,"similar"
