"","ID","RT","acc","trial","gender","ethnicity","race","income","mother_edu","father_edu","age_years","age_months","condition","drop","target","familiarity","response","item","similar"
"81","113",4092,1,"2","Male","Caucasiasian-American","","f","e","b",2.55,30.54,1,0,"Clock","1","Left","ClockBicycle","similar"
"82","114",9926,1,"2","Male","Non-Hispanic","Caucasian","d","d","d",2.33,27.95,2,0,"Shoe","1","Left","ShoeSock","similar"
"83","116",2369,1,"2","Female","Asian-Russian","","d","e","d",2.49,29.85,4,0,"Balloons","1","Left","BalloonsGrapes","similar"
"84","117",2166,1,"2","Male","Non-Hispanic","Caucasian","e","e","g",2.59,31.04,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"85","118",3271,1,"2","Male","Non-Hispanic","Caucasian","f","e","g",2.28,27.39,6,0,"Sock","1","Right","ShoeSock","similar"
"86","121",3299,1,"2","Female","African American, Caucasian, American Indian, Asian-American","Caucasian","a","c","",2.7,32.45,1,0,"Clock","1","Left","ClockBicycle","similar"
"87","123",1693,1,"2","Male","Caucasian","","f","g","g",2.64,31.73,3,0,"Jacket","1","Left","JacketLeaf","similar"
"88","34",6701,0,"2","Female","Hispanic","Caucasian","d","e","e",2.35,28.21,2,0,"Shoe","1","Right","ShoeSock","similar"
"89","35",2468,1,"2","Male","Non-Hispanic","Asian & Caucasian","f","e","e",2.27,27.25,3,0,"Jacket","1","Left","JacketLeaf","similar"
"90","36",4028,1,"2","Female","Non-Hispanic","Caucasian","f","d","g",2.24,26.83,4,0,"Balloons","1","Left","BalloonsGrapes","similar"
"91","37",2303,1,"2","Female","Non-Hispanic","Caucasian","f","e","e",2.2,26.4,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"92","38",3844,1,"2","Female","Non-Hispanic","Asian & Caucasian","f","d","e",2.21,26.5,6,0,"Sock","1","Right","ShoeSock","similar"
"93","39",5058,1,"2","Male","Non-Hispanic","Caucasian","c","b","b",2.19,26.24,7,0,"Leaf","1","Right","JacketLeaf","similar"
"94","41",3083,1,"2","Female","Hispanic","","f","d","d",2.23,26.79,1,0,"Clock","1","Left","ClockBicycle","similar"
"95","43",4626,1,"2","Female","Not Hispanic","Caucasian","f","g","e",2.33,27.95,3,0,"Jacket","1","Left","JacketLeaf","similar"
"96","44",4735,1,"2","Male","Not Hispanic","Caucasian","b","d","b",2.27,27.19,4,0,"Balloons","1","Left","BalloonsGrapes","similar"
"97","45",8651,1,"2","Female","Not Hispanic","Caucasian","","d","g",2.39,28.73,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"98","46",2827,1,"2","Male","Not Hispanic","Caucasian","e","e","g",2.33,27.91,6,0,"Sock","1","Right","ShoeSock","similar"
"99","47",2712,1,"2","Male","Not Hispanic","Asian, Caucasian","f","g","g",2.46,29.52,7,0,"Leaf","1","Right","JacketLeaf","similar"
"100","48",6184,1,"2","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,8,0,"Grapes","1","Right","BalloonsGrapes","similar"
"101","49",3542,1,"2","Female","Not Hispanic","Native Hawaiian & Caucasian","c","d","f",2.26,27.16,1,0,"Clock","1","Left","ClockBicycle","similar"
"102","50",2325,1,"2","Female","Not Hispanic","Asian and Caucasian","d","e","g",2.22,26.7,2,0,"Shoe","1","Left","ShoeSock","similar"
"103","51",3376,1,"2","Male","Not Hispanic","Caucasian","f","g","e",2.47,29.69,3,0,"Jacket","1","Left","JacketLeaf","similar"
"104","52",3507,1,"2","Female","Not Hispanic","Caucasian","e","e","c",2.2,26.37,4,0,"Balloons","1","Left","BalloonsGrapes","similar"
"105","53",4296,1,"2","Male","Not Hispanic","Caucasian","e","c","e",2.3,27.55,5,0,"Bicycle","1","Right","ClockBicycle","similar"
"106","54",5169,1,"2","Female","Hispanic","Caucasian","f","c","d",2.16,25.94,6,0,"Sock","1","Right","ShoeSock","similar"
"107","56",3410,1,"2","Female","Not Hispanic","Caucasian","f","g","e",2.45,29.39,8,0,"Grapes","1","Right","BalloonsGrapes","similar"
"108","57",3328,0,"2","Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,1,0,"Clock","1","Right","ClockBicycle","similar"
"109","58",6143,1,"2","Female","Not Hispanic","African American/Caucasian","f","g","c",2.33,27.95,2,0,"Shoe","1","Left","ShoeSock","similar"
"110","59",5476,0,"2","Male","Not Hispanic","Caucasian","d","d","e",2.27,27.19,3,0,"Jacket","1","Right","JacketLeaf","similar"
"111","60",4861,0,"2","Female","Not Hispanic","Caucasian","c","e","c",2.31,27.68,4,0,"Balloons","1","Right","BalloonsGrapes","similar"
"112","62",3197,1,"2","Female","1/8 Hispanic","Caucasian","d","e","b",2.34,28.04,6,0,"Sock","1","Right","ShoeSock","similar"
