Date,Time,File,Subj,Cond,Block,Trial,Order,task,Resp,Name,Stim,RT,Correct,Started@,LoadTime,TotalInt,Stim 1,Time 1,Stim 2,Time 2
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,1,1.01,encode,57,SPACE,press spacebar to start practice,11272,TRUE,0,149,166,press spacebar to start practice,11285,,
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,2,2.01,encode,57,SPACE,YELLOW,2911,TRUE,11451,249,265,YELLOW,2934,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,3,3.01,encode,57,SPACE,BLUE,1777,TRUE,15134,33,49,BLUE,1800,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,4,4.01,encode,57,SPACE,RED,1336,TRUE,17467,33,49,RED,1367,blacksquare.bmp,485
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,5,5.01,encode,57,SPACE,GREEN,1377,TRUE,19368,32,49,GREEN,1399,blacksquare.bmp,485
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,6,6.01,encode,57,SPACE,RED,1353,TRUE,21301,32,49,RED,1383,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,7,7.01,encode,57,SPACE,BLUE,1609,TRUE,23217,33,49,BLUE,1634,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,8,8.01,encode,57,SPACE,GREEN,1295,TRUE,25384,33,49,GREEN,1317,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,9,9.01,encode,57,SPACE,BLUE,1386,TRUE,27234,32,49,BLUE,1417,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,10,10.01,encode,57,SPACE,GREEN,1153,TRUE,29184,32,49,GREEN,1184,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,11,11.01,encode,57,SPACE,YELLOW,1393,TRUE,30901,32,49,YELLOW,1417,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,12,12.01,encode,57,SPACE,END,15057,TRUE,32851,32,49,END,15084,blacksquare.bmp,484
10/7/2016,15:04,C:\Documents and Settings\lab\Desktop\Tadpole\Stroop Task\stroop 2.csv,138,1,1,13,13.01,encode,57,SPACE,press spacebar to start task,1621,TRUE,48468,33,49,press spacebar to start task,1635,,
