33,-,-,0.73,-,0.63,-,0.5,-,1,-,-,-,-,-,0.47,-,0.31,0.29,1,-,-,-,1,-,0.6,-,1,-,-,0.02,0.53,-,-,-,0.22,0.05,0.18,-,0.38,0.23
34,1,-,-,-,-,-,0.37,0.33,-,0.12,-,0.04,-,-,0.03,0.48,1,-,0.18,0.82,1,-,-,-,0.01,0.99,0.15,-,0.05,-,0.43,-,-,0.03,-,-,0.76,-,-,-
35,-,-,-,-,-,-,-,-,0.44,0.5,-,-,-,-,-,-,-,-,-,-,0.26,-,-,-,-,-,0.29,-,0.79,-,0.58,-,-,-,-,-,0.51,-,-,-
36,-,-,-,-,-,-,0.7,0.07,0.26,0.74,0.52,0.31,0.5,-,0.12,0.09,-,-,0.83,-,1,-,-,0.28,-,0.01,-,0.15,0.79,0.21,-,-,1,-,0.17,0.83,0.05,-,1,-
37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.37,0.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,0.77,-,-,-,0.2,-,0.14,-,0.7,-,0.11,-,1,-,0.89,0.11,0.81,0.19,1,-,0.83,-,-,-,-,0.19,0.81,0.19,0.2,0.8,1,-,0.33,-,-,-,-,-,1,-
39,0.82,-,-,-,-,-,0.27,-,-,-,0.3,0.1,-,-,-,0.13,-,0.43,0.58,-,-,-,1,-,0.83,-,-,-,0.06,-,-,-,-,-,-,-,0.93,0.07,-,-
40,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,-,-,-,-,0.61,-,0.5,0.5,0.24,-,-,-,-,0.62,-,-,0.95,-,0.93,0.07,-,-,0.3,-,-,-,-,-,-,-,-,-,0.32,-,-,-,-,-,0.1,-
42,-,-,-,-,0.09,-,0.1,-,0.24,0.21,0.3,-,-,-,0.11,0.73,0.6,-,0,-,0.27,-,-,-,-,0.01,0.5,-,0.55,0.37,-,0.21,0.13,0.38,-,0.68,0.62,-,0.1,-
43,-,-,-,-,-,-,-,1,0.52,0.48,0.33,0.44,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0.47,-,-,-,0.41,0.59,-,-
44,0.14,-,1,-,0.67,0.01,-,-,1,-,0.88,-,0.47,-,-,-,-,0.3,0.96,-,0.76,0.24,-,-,0.87,-,-,-,-,0.82,0.05,0.68,0.61,-,0.37,-,-,-,-,-
45,-,-,-,-,-,-,-,-,-,-,0.56,-,-,-,-,0.36,0.2,-,-,-,-,0.17,-,-,-,0.25,-,-,0.32,-,-,0.78,1,-,0.17,-,0.22,-,-,-
46,-,-,-,-,-,-,-,-,-,0.52,-,-,-,-,1,-,1,-,-,-,-,-,0.25,0.75,-,-,0.9,-,-,-,-,-,1,-,0.82,0.18,-,-,-,-
47,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,-,-,-,-,-,-,-,-,-,-,0.33,0.67,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,-,-,-,-,-,-,0.07,-,0.02,0.98,-,-,-,-,-,0.21,-,1,0.3,-,0.09,-,0.21,-,-,-,-,-,1,-,-,-,-,0.11,-,-,-,-,-,-
50,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,1,-,-,-,-,-,-
51,-,-,-,-,-,-,-,0.22,-,0.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,-,0.37,-,-,-,-,-,0.1,-,1,0.42,-,0.2,0.07,-,-,0.47,-,-,-,-,0.54,-,-,-,-,-,-,0.18,-,-,-,0.28,0.28,0.5,-,-,-,-,-
53,-,-,-,-,-,-,-,-,-,-,0.19,-,-,-,-,-,-,-,0.02,-,-,-,-,-,-,-,-,-,0.26,0.74,-,-,-,-,-,-,-,-,-,-
54,-,-,-,-,-,0.21,0.07,-,-,-,-,-,-,-,-,0.11,-,-,0.22,-,0.58,0.42,-,-,1,-,-,-,-,-,-,-,-,-,0.08,-,-,-,-,-
55,-,-,-,-,-,-,-,-,0.04,0.92,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,0.4,0.4,0.51,-,0.77,-,1,-,0.8,-,0.78,-,-,0.43,-,0.05,-,0.1,-,-,-,-,0.25,-,0.49,0.51,-,-,-,-,1,-,0.97,-,1,-,-,-,0.43,0.12
57,-,0.11,-,-,-,-,-,-,-,-,-,0.15,-,-,-,-,-,-,1,-,-,-,-,0.27,0.11,-,-,-,-,-,-,-,-,0.03,-,-,-,-,-,-
58,1,-,0.8,-,0.17,0.4,-,-,-,0.44,0.69,0.31,0.36,-,-,1,-,-,0.97,0.03,-,-,-,0.27,-,-,-,0.33,-,-,-,-,-,-,-,0.07,0.78,-,-,0.45
59,-,0.37,-,-,0.41,0.09,-,0.8,0.19,0.62,-,-,-,-,-,-,-,0.63,-,-,-,-,-,-,0.35,-,0.03,-,0.12,-,0.43,-,0.16,-,0.7,-,-,0.85,-,-
60,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,-,-,-,-,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,-,-,-,-,-,-,-,0.46,-,-,0.17,-,-,-,0.43,0.57,0.85,-,0.3,-,1,-,-,-,0.39,-,1,-,0.32,0.37,1,-,0.06,0.94,-,-,-,-,0.42,-
63,-,-,0.02,0.98,0.05,0.36,0.68,0.08,0.19,0.81,-,-,-,-,-,-,0.1,-,0.6,-,0.94,-,-,-,-,-,0.03,0.35,-,-,0.84,-,0.66,0.34,0.48,-,-,-,0.17,-
64,-,-,-,-,-,-,-,-,-,-,-,0.42,-,-,-,-,-,0.02,-,-,0.27,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,0.32,0.14,-,-,0.93,0.07,1,0,0.23,-,-,-,0.28,-,0.52,0.3,-,-,0.42,-,-,0.93,-,0.4,-,0,-,-,-,-,1,-,-,-,0.61,-,0.05,-,-,-
66,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.62,0.16,-,-,-,-,0.69,-
67,-,-,0.11,-,0.1,0.9,0.95,-,-,0.47,-,-,0.52,-,-,0.75,-,-,1,-,-,-,-,-,-,-,-,-,-,-,0.5,-,-,-,-,-,0,0.68,-,-
68,0.43,-,-,-,1,-,-,-,-,1,0.69,-,0.56,0.21,0.6,-,-,0.57,0.57,0.43,-,1,1,-,0.8,0.2,0.38,-,-,-,-,-,0.65,0.12,-,0.31,0.52,0.48,-,-
69,0.35,0.1,0.81,-,-,-,-,1,0.39,-,-,0.77,-,-,0.84,-,-,-,1,-,-,0.38,0.07,-,1,-,-,-,-,-,-,0.35,0.2,0.18,-,-,0.56,-,-,-
70,-,-,-,-,-,-,-,-,0.64,-,-,-,-,-,0.35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.23,-,0.93,-,-,-,-
71,1,-,0.81,-,0.08,-,-,1,0.17,0.37,-,-,-,0.35,1,-,-,-,0.97,-,0.79,-,1,-,1,-,0.08,-,0.68,0.09,0.04,-,0.34,0.66,-,-,1,-,0.56,-
79,0.88,-,-,-,-,-,-,-,0.44,0.32,-,-,-,-,0.41,-,0.32,-,0.53,-,0.24,0.76,-,-,-,0.82,-,-,-,-,-,0.67,-,-,0.3,-,-,-,-,-
80,-,-,0.25,0.75,-,-,-,-,-,0.91,0.28,0.72,-,-,0.06,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.65,-,1,-,-,-
73,-,1,-,-,-,0.1,-,1,0.12,0.42,-,-,0.09,0.64,-,-,-,0.74,-,1,-,-,0.14,-,-,0.56,-,-,-,-,0.88,-,-,-,-,0,0.22,0.56,-,-
74,0.01,-,0.08,0.92,-,-,1,-,-,0.19,0.63,-,0.11,-,-,0.54,1,-,-,0.28,-,-,-,0.12,0.17,0.12,-,-,-,0.29,0.44,0.35,0.09,0.14,0.15,0.24,-,0.49,1,-
75,0.36,-,0.28,-,-,-,-,0.53,0.11,0.5,0.35,-,-,-,0.02,-,-,-,-,-,-,-,-,-,0.2,-,-,0.3,-,-,0.04,-,0.07,-,0.28,0.12,-,-,-,-
76,-,-,-,-,0.2,-,0.07,0.25,0.73,-,0.2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,0.01,-,-,-,-,-,-,0.11,0.42,-,-,-,-
77,0.4,-,0.48,-,-,-,-,-,1,-,-,-,0.87,-,-,-,0.82,0.11,0.49,-,-,0.3,1,-,-,0.53,-,0.74,0.18,-,-,-,-,-,-,-,0.42,-,0.17,-
78,0.31,0.57,-,-,-,-,-,-,-,-,-,-,-,-,0.87,-,-,-,-,-,-,-,-,-,-,-,0.17,0.23,-,-,-,-,0.19,-,-,-,-,-,-,-
81,0.49,0.51,1,-,0.91,-,0.23,-,0.17,0.83,-,-,0.25,0.53,0.83,-,-,-,0.55,-,-,-,1,-,-,0.08,0.68,0.32,0.13,0.78,-,0.15,1,-,0.05,0.68,0.23,-,-,-
89,-,-,0.54,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0.17,-,-,-,0.5,-,-,0.54,-,0.19,-,-,-,-,-,0.3,0.28,-,-,-,-
83,-,-,-,-,-,0.17,-,-,-,0.82,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,-,-,-,-,0.76,0.24,0.56,-,-,-,-,-,0.5,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,-,-,0.32,-,-,-,0.04,0.48,0.96,0.04,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,0.02,-,-
88,0.72,-,-,-,1,-,-,-,0.41,-,-,0.2,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,0.88,0.85,-,-,-
90,-,-,-,-,1,-,-,-,0.1,-,-,-,-,-,0.65,0.26,0.63,-,1,-,0.23,0.08,-,0.86,-,-,-,-,0.23,0.29,-,-,-,-,-,-,-,-,-,-
91,-,-,1,-,-,0.61,-,-,0.18,0.62,0.88,0.12,-,-,0.55,-,0.68,-,-,-,-,0.1,-,0.12,0.13,0.75,-,0.25,0.01,0.63,0.9,-,0.16,0.33,-,-,-,-,0.68,-
92,-,-,-,-,-,-,-,-,0.64,-,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.78,0.22,-,-,1,-,0.57,-,-,-,-,-
93,0.4,-,-,-,0.58,-,-,0.64,0.31,0.4,-,-,-,0.5,0.67,0.03,0.37,-,0.72,-,0.96,-,0.85,0.15,-,0.17,0.47,0.31,0.56,0.09,-,0.19,-,-,0.15,-,-,-,0.24,0.1
95,-,-,-,-,-,-,0.05,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,0.05,-,-,-,-,-,-,-,0.3,-,0.74,-,-,-
96,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.96,-,0.45,-,-,-,0.13,-,-,-,-,-,-,-,0.18,-,-,-,-,-,-,-,-,-,-,-
98,-,-,-,-,-,-,-,0.86,-,-,-,-,0.7,-,-,-,-,0.32,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,-,0.29,-,-,-,0.86,-,0.56,-,-,0.05,-,-,-,-,-,-,0.65,-,-,-,0.25,-,-,0.07,-,-,-,-,-,-,-,0.67,0.33,0.2,0.48,-,-,-,-
103,-,-,0.23,0.67,-,-,-,0.47,-,-,-,-,-,-,0.98,0.02,0.25,-,-,-,0.08,-,-,-,0.38,-,-,-,0.01,0.48,0.03,0.09,0.38,0.47,-,-,-,-,0.62,-
P102,-,0.33,-,-,0.59,-,-,-,0.3,0.7,-,0.88,0.03,0.47,0.34,0.66,-,1,1,-,0.56,0.44,1,-,1,-,0.57,0.43,0.34,0.59,-,0.46,0.4,0.39,0.46,0.52,0.83,-,-,-
97,-,-,0.79,-,-,-,-,-,-,-,0.64,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,0.13,-,-,-,-,-,-,-,-,-
