51,2.99,2.98,2.6,2.5,2.98,2.18,2.62,2.32,2.8,2.53,
52,-,2.26,2.98,2.65,-,1.28,1.87,0.95,1.34,2.54,
53,0.52,0.27,1.57,1.04,-,1.02,1,1.15,1.25,1.21,
54,2.98,-,2.47,2.57,2.55,0.85,2.98,-,1.82,2.98,
55,2.26,2.34,2.98,2.46,2.61,2.98,2.49,2.57,2.88,2.98,
56,2.29,2.46,2.53,2.84,2.71,1.92,1.88,2.51,2.87,1.96,
57,1.45,2.21,2.28,2.42,-,2.98,2.76,2.76,0.02,2.83,
58,2.13,2.02,2.44,0.17,1.99,2.02,2.98,2.78,2.99,-,
59,2.57,2.76,2.96,-,2.64,-,-,0.02,2.81,2.83,
60,2.99,-,1.98,1.25,2.74,0.9,1.87,2.98,2.72,2.59,
61,0.38,0.83,0.98,0.8,0.48,2.6,0.45,1.87,1.42,-,
62,2.98,1.47,2.81,2.83,2.38,2.98,2.98,2.99,2.17,2.77,
63,2.03,1.04,1.35,2.98,1.44,2.98,1.67,1.97,2.48,2.98,
64,2.8,2.56,2.24,2.7,2.99,2.71,2.97,2.87,2.77,2.9,
65,1.17,1.35,1.67,2.27,1.68,0.15,2.98,2.6,-,2.35,
66,2.86,2.04,2.65,2.98,2.85,2.72,2.97,1.56,1.61,2.83,
67,-,2.98,2.58,2.97,1.3,2.97,2.84,2.98,2.82,0.02,
68,1.82,1.93,2.69,2.28,2.35,2.73,2.06,1.83,1.94,1.7,
69,2.74,2.98,1.91,2.98,2.58,0.84,2.55,2.99,2.83,2.84,
70,2.99,0.6,2.3,2.46,1.31,2.03,2.41,2.41,0.89,1.35,
71,-,1.18,2.37,-,0.69,-,-,-,-,2.22,
72,1.68,2.73,0.73,1.92,1.95,1.92,2.04,1.08,2.45,0.55,
73,1.89,1.83,2.98,1.26,1.68,-,2.11,1.66,1.92,1.76,
78,1.42,2.03,1.78,0.92,1.34,1.46,2.37,2.48,1.47,1.65,
79,-,2.99,2.98,2.98,2.74,2.67,2.98,2.73,2.72,2.82,
80,2.53,2.99,1.91,2.37,2.22,1.92,2.99,2.98,2.98,2.44,
81,2,0.8,2.55,2.37,2.39,2.31,1.23,2.62,1.9,2.33,
82,-,0.62,-,-,0.4,-,-,-,0.41,,
83,2.97,2.97,-,2.89,1.7,-,2.99,2.99,2.97,1.68,
74,2.98,2.21,2.98,2.98,-,2.45,2.75,-,2.66,1.86,
76,1.28,2.34,2.65,2.16,2.65,2.39,2.16,2.42,2.31,2.13,
76,1.7,1.15,1.92,1.1,2.26,1.85,1.18,2.38,0.88,0.17,
77,2.16,0.45,2.46,2.02,-,1.44,1.27,1.74,2.46,,
84,2.05,1.27,2,0.27,0.7,0.17,1.76,0.18,0.33,2.28,
86,2.98,2.83,2.99,2.98,2.98,2.98,2.98,2.99,2.98,2.98,
87,2.77,2.88,2.81,2.97,2.99,2.78,2.68,2.88,2.19,2.97,
88,0.22,2.98,1.37,1.08,2.98,2.55,0.3,2.68,2.72,1.41,
89,2.54,1.84,-,2.61,2.69,2.28,2.63,-,0.47,-,
90,1.43,2.98,2.98,2.41,2.99,1.61,2.99,2.98,1.54,2.98,
91,1.94,1.55,1.63,2.47,2.35,1.03,2.43,2,1.82,2.32,
92,2.78,2.98,2.7,2.24,2.99,2.98,2.96,2.99,2.98,0.67,
93,2.72,2.68,2.45,1.92,2.58,2.6,2.46,2.99,2.66,2.26,
95,2.75,0.65,2.98,2.98,2.85,2.44,2.68,2.97,2.38,2.56,
96,2.21,2.98,1.6,2.78,1.68,1.07,2.25,2.3,2.41,2.26,
98,2.39,2.97,2.61,0.84,2.97,2.59,2.64,0.08,2.52,2.39,
101,2.99,2.79,2.98,2.98,0.02,-,-,-,-,2.78,
103,2.65,0.92,1.42,1.74,2.77,1.56,1.45,-,1,2.98,
P102,2.51,1.3,1.6,2.37,2.69,2.71,2.51,2.98,2.37,2.03,
