"Subject_ID" "acc1" "RT1" "response1" "acc2" "RT2" "response2" "acc3" "RT3" "response3" "acc4" "RT4" "response4" "acc5" "RT5" "response5" "acc6" "RT6" "response6" "acc7" "RT7" "response7" "acc8" "RT8" "response8" "acc9" "RT9" "response9" "acc10" "RT10" "response10" "acc11" "RT11" "response11" "acc12" "response12" "RT12" "acc13" "RT13" "response13" "acc14" "RT14" "response14" "acc15" "RT15" "response15" "acc16" "RT16" "response16" "acc17" "RT17" "response17" "acc18" "RT18" "response18" "acc19" "RT19" "response19" "acc20" "RT20" "response20"
136 1 2144 2 0 1825 1 1 2604 1 1 2018 2 1 1740 1 1 2327 1 1 1996 2 1 2074 1 1 2295 2 1 2233 1 1 2003 1 0 2708 1 1 1378 1 1 2302 2 1 2862 1 1 2253 2 1 2573 1 0 1972 2 1 1751 2 1 2731 2
138 0 2081 1 0 1829 1 1 2505 1 0 2220 1 1 2107 1 0 3835 2 0 1642 1 1 1765 1 0 13758 1 1 7319 1 1 3679 1 0 5879 1 1 9000 1 1 3830 2 1 2531 1 0 1999 1 1 7387 1 1 5925 1 0 15808 1 0 1727 1
139 0 2101 2 0 1901 2 1 2038 2 0 1871 2 1 1666 2 1 1600 2 1 1485 1 0 2270 1 0 1808 2 1 1419 2 1 1646 2 0 2379 2 1 2657 2 0 2203 2 1 1810 2 0 1829 2 1 2909 2 1 2754 2 0 2205 2 0 2563 2
14 0 9524 1 1 5188 1 0 4443 2 1 4143 2 0 1682 2 1 2630 2 0 3772 2 1 1912 2 1 2458 2 1 3633 1 1 3159 2 1 4288 2 0 2373 2 0 3522 2 1 3634 2 1 3293 1 1 3932 2 1 5405 1 1 3242 1 1 4864 2
141 0 3738 2 1 2139 1 0 1798 1 0 3067 2 1 3219 2 1 2888 2 0 2775 2 1 2245 2 0 2362 2 0 2002 1 0 2543 1 0 3157 2 0 4516 1 1 3624 1 0 4242 1 0 2033 2 1 1173 2 0 3892 1 1 4190 1 0 2642 2
142 0 4158 1 1 3024 2 0 2181 2 1 2927 2 0 6145 2 1 4083 1 0 3458 1 1 838 1 0 3309 1 0 2768 2 0 4319 2 0 3418 1 0 1485 2 0 4689 1 0 3354 2 1 3138 2 0 4171 2 1 3565 1 0 4934 1 0 2625 1
143 1 7587 1 0 1356 2 1 1524 2 1 1688 1 1 1223 2 1 1684 2 0 1462 2 1 1221 2 0 1911 2 0 4735 1 1 2594 2 0 5252 2 1 2314 2 0 1518 2 1 2919 2 0 1253 2 1 2731 2 0 4619 1 0 20038 2 0 19312 2
144 0 2295 1 0 1917 1 1 1830 1 1 2536 2 1 2325 1 1 1817 1 1 2129 2 1 1373 1 1 2230 2 1 2439 1 1 2748 1 1 4823 2 1 2056 1 1 2806 2 1 1691 1 1 2055 2 1 3976 1 0 2299 2 1 1659 2 1 2465 2
145 0 3736 2 1 3186 1 0 12557 1 0 2583 2 0 1983 1 0 2710 1 1 2268 1 1 3240 2 0 4355 2 0 2439 1 0 3384 1 0 3297 2 0 2262 1 0 8275 2 1 2660 2 1 3498 1 1 3903 2 0 2875 1 1 2313 1 0 5379 2
146 1 6008 2 1 3609 2 1 3284 1 1 2009 2 0 2601 2 0 2196 2 1 2670 2 1 2329 1 1 1942 2 1 1798 1 1 2725 1 0 1669 1 1 1874 1 0 2757 1 0 2382 2 0 2832 1 0 21815 2 1 7548 1 0 4407 1 1 2716 2
147 0 6068 2 0 5945 2 0 4654 1 0 28741 2 0 6686 1 1 2457 2 0 3858 2 0 3246 1 0 1858 2 0 6287 1 1 1315 2 1 22587 1 0 2287 1 0 1978 2 1 1076 2 1 5013 1 0 6352 1 1 12698 2 0 3560 2 0 1991 2
149 0 12954 2 1 7039 1 0 7460 1 0 4832 2 1 5820 2 1 5731 2 0 4616 2 1 2598 2 0 3194 2 1 5293 2 1 12601 2 0 6373 2 1 16371 2 1 15380 1 1 12061 2 0 7355 2 0 7692 1 1 7471 2 0 1568 2 1 3632 1
15 1 4057 1 0 1477 1 1 1070 2 1 1257 1 0 1319 1 1 3248 1 1 3277 2 1 1683 1 0 1766 2 0 1823 1 0 1219 2 1 1503 1 1 954 2 0 3449 1 1 3622 1 0 988 1 0 1221 2 1 1272 2 1 1225 2 1 1256 1
150 1 25960 2 1 1750 2 0 825 2 1 3342 2 0 2571 2 0 2506 2 1 1634 2 1 2811 1 1 2919 2 0 2423 2 0 1040 2 0 2296 1 0 1811 2 1 12310 2 0 20320 2 1 7328 2 0 14628 2 1 7583 1 1 1764 2 0 2136 1
151 0 2794 2 1 7643 1 1 3753 2 0 13200 2 0 15790 1 1 3108 2 0 14667 2 1 8435 2 0 25670 2 1 11910 2 1 1955 2 0 7035 2 999 64630 57 0 19050 2 1 2949 2 0 1699 2 1 1808 2 1 1713 2 1 1802 1 0 2048 2
153 1 1645 1 0 4893 2 0 1261 1 1 1232 1 0 1418 1 0 1695 1 0 2970 2 0 19214 1 1 3446 1 0 1579 1 0 2095 1 0 2893 2 0 2311 1 0 32118 2 0 1818 1 0 2032 2 1 946 2 1 1136 2 1 3735 1 1 7780 1
155 0 13352 2 1 5855 1 0 4548 1 1 2247 1 0 2298 1 1 8327 2 1 2326 1 0 3357 1 1 2225 1 0 2555 1 0 16226 1 0 8156 2 0 15213 1 1 10079 1 1 6907 2 0 16690 2 0 4399 1 0 4091 1 0 4937 2 0 5670 2
156 1 2484 2 0 4037 1 0 2662 2 0 3224 1 0 4351 2 0 3826 2 0 4443 1 1 3199 1 0 2734 1 0 4796 2 0 16119 2 1 3414 2 0 1942 2 0 1623 1 0 7358 2 0 2956 1 0 1378 2 0 10077 2 1 7588 2 0 2270 1
157 0 2166 2 1 1259 1 0 1751 1 0 956 2 0 1817 1 1 16730 2 0 12178 2 0 2977 1 1 1125 1 0 2280 1 0 4685 1 1 1084 1 1 2061 2 0 383 2 1 300 2 1 1414 1 1 2069 2 0 1197 1 1 1597 1 1 1285 1
158 1 2340 2 0 1002 1 1 371 1 0 652 1 0 980 2 1 954 1 0 916 1 1 923 1 0 757 1 1 705 1 1 835 1 0 1077 1 0 808 2 0 33810 1 0 8894 2 0 1100 1 1 978 1 1 888 1 0 1245 1 0 924 1
16 1 10035 2 1 3794 1 1 3383 1 1 3207 2 1 3821 1 1 4854 2 0 3841 2 1 3868 2 1 3501 2 1 2689 1 1 6616 2 1 6570 2 1 3604 1 1 3354 1 1 4451 2 1 2620 1 1 4590 2 1 4499 1 1 4123 1 1 2634 2
160 1 1967 2 0 1673 1 1 4599 1 1 2412 2 1 1668 1 0 2187 2 1 1746 2 0 1748 2 1 1842 2 1 2146 1 0 2677 2 0 1833 1 1 1552 1 1 2135 2 0 3482 2 0 3886 1 1 1785 1 1 1776 1 1 1664 2 1 1834 2
161 0 3216 2 1 11708 1 1 2388 2 0 2942 2 0 2451 1 1 2633 2 0 6205 2 0 4650 1 0 4053 2 1 3499 2 0 2176 1 1 13042 1 1 2516 2 1 20754 1 0 6137 1 0 3437 2 1 5298 2 0 2373 1 0 2459 2 0 1877 2
162 1 6154 2 0 3935 1 1 2683 1 1 5269 2 1 2862 1 0 2080 2 0 1904 1 0 1787 2 0 4872 1 1 1755 1 1 1582 1 0 14012 1 1 2309 1 1 8471 2 0 3303 2 1 1363 2 1 4010 1 0 1610 2 1 5080 2 0 4180 1
164 1 4292 1 1 3427 1 1 1721 2 1 2762 1 1 2476 2 1 3600 2 0 3409 2 1 1690 2 0 1498 2 1 1216 2 1 2224 2 0 1698 2 1 4826 2 0 2589 2 0 7586 1 1 8053 1 1 1772 2 1 1516 2 0 963 2 0 1167 2
165 0 3288 2 0 2552 2 0 2515 1 0 2323 2 0 1972 1 1 2315 2 1 3545 1 0 1721 1 0 1849 2 1 6593 2 1 12657 2 1 1689 1 1 1879 2 0 1641 2 0 1729 1 0 2051 2 1 3234 2 1 6556 2 0 2877 2 0 4466 2
167 1 3634 1 0 3272 2 1 3068 2 1 3714 1 1 5895 2 1 2432 2 1 6174 1 1 2346 2 1 3698 1 1 5879 2 1 7388 2 1 8203 1 1 1591 2 1 6696 1 1 4985 2 1 3574 1 1 6198 2 0 2959 1 0 8050 2 1 2801 1
169 1 8091 1 1 5002 1 0 2184 1 1 4275 1 0 3656 1 0 9089 1 1 2014 1 0 2324 1 1 4268 1 0 2252 1 0 2548 1 1 2830 1 0 2593 1 1 2872 1 0 2186 1 1 3124 1 1 4279 2 0 2172 1 1 2120 1 1 1840 1
17 1 5310 1 0 1523 1 0 1302 1 1 939 1 0 1121 1 0 1387 2 0 1252 1 0 1314 2 0 1666 2 0 1878 1 0 1514 2 1 1329 1 1 1157 2 0 2299 1 1 1589 1 0 1336 1 1 1358 1 0 1676 1 1 1967 2 1 1184 1
170 0 2813 1 0 1567 1 0 7078 2 1 10265 2 1 3140 1 1 2645 1 1 3401 2 1 2487 1 0 3830 1 0 2834 2 1 3478 1 0 4522 1 1 4744 1 0 2730 1 0 2285 2 1 3061 2 0 2881 2 0 3318 2 1 2699 2 0 2258 1
18 0 3735 1 1 4042 1 0 1936 1 1 3740 1 0 1199 1 1 5629 1 0 3011 1 1 3142 1 1 3805 1 0 6330 1 1 5137 1 0 12117 1 0 2493 1 0 2813 2 0 4939 1 1 10328 1 0 4085 2 0 5037 1 1 5618 1 0 4125 1
19 1 5040 1 1 2715 2 1 2002 1 0 2665 1 1 1288 1 1 1131 2 0 2845 2 1 2707 2 0 1213 1 0 947 2 1 3138 2 0 8154 2 1 2381 1 1 995 2 0 755 2 1 1818 2 0 1697 1 0 3567 2 0 3576 1 1 2844 1
20 0 15405 2 1 5951 2 0 10639 2 1 6687 2 0 2710 2 0 2935 1 0 6925 2 1 4523 2 1 2101 2 0 1842 2 1 9970 2 1 1804 1 0 6238 2 1 1090 2 1 3304 1 0 2410 1 0 8814 1 0 7771 2 1 5499 2 1 4640 1
21 0 5926 2 0 1723 1 1 9023 1 1 9427 2 1 5893 1 0 8803 1 0 10116 2 0 5623 1 1 9113 2 0 6898 2 0 4518 1 1 2869 1 1 3780 1 0 4357 1 1 3146 1 0 5217 1 0 1618 1 1 2145 1 0 3699 1 1 1505 1
22 1 3413 1 0 16484 1 0 14022 2 0 7888 1 0 27351 2 1 1246 2 0 2376 2 1 8734 2 1 8515 2 1 56828 1 1 9939 1 1 2040 1 0 3842 1 1 7005 1 0 1011 1 1 2126 2 0 2392 2 1 2498 2 0 5127 2 999 999 999
23 1 1935 1 0 5014 1 1 1378 1 0 442 1 1 1194 1 0 1650 1 1 1074 1 0 1001 1 0 1191 1 1 1409 1 0 1116 2 0 3513 2 1 1603 2 0 1553 2 1 1217 2 1 997 2 0 1307 2 1 4861 2 0 7750 2 999 999 999
24 1 2741 1 1 2841 2 0 3560 2 0 2100 1 0 1170 2 0 1956 1 0 4293 2 1 2574 2 1 7829 2 1 5600 1 1 4146 2 0 3214 2 0 3981 2 1 2454 2 0 3319 2 1 4380 2 1 1653 2 0 2445 2 1 4178 2 1 3560 1
